id;tracking_code;date;details;invoice_id
1;contextually-based;2019-09-13T04:45:06;Jewelery cutting-edge;1
2;Games;2019-09-13T08:02:17;supply-chains magenta;2
3;encompassing;2019-09-13T14:26:13;Gloves sky blue Oklahoma;3
4;robust Engineer;2019-09-12T21:11:51;Quality-focused;4
5;card Plastic;2019-09-12T20:21:02;mission-critical;5
6;Berkshire Small Plastic Pants Investor;2019-09-13T14:32:47;Granite Berkshire Designer;6
7;Credit Card Account;2019-09-13T18:21:20;24/7 Re-contextualized cross-platform;7
8;invoice withdrawal;2019-09-13T07:26:15;Licensed hacking installation;8
9;Argentine Peso;2019-09-12T23:41:44;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2019-09-13T16:06:40;Yen synthesize Creative;10
