id;placed_date;status;code;invoice_id;customer
1;2019-09-13T19:24:42;COMPLETED;paradigms Home;34507;deposit Canadian Dollar Lebanon
2;2019-09-13T09:33:01;CANCELLED;Ergonomic transmitter;36778;invoice withdrawal
3;2019-09-13T07:26:18;CANCELLED;Argentine Peso;85835;neural-net red
4;2019-09-13T03:13:46;COMPLETED;Sausages;69093;synthesize Creative
5;2019-09-13T16:59:47;COMPLETED;Fiji Dollar Profound Bacon;98216;Borders content-based
6;2019-09-12T20:23:13;PENDING;Human deposit;33902;cross-media
7;2019-09-13T02:52:27;COMPLETED;bypassing Marketing;78534;New Zealand Dollar Alabama transform
8;2019-09-12T21:44:02;CANCELLED;Latvia;69189;invoice Devolved
9;2019-09-13T03:12:17;CANCELLED;Fish;36646;program alarm
10;2019-09-13T12:54:13;PENDING;dedicated Persevering;97301;target Human withdrawal
